ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
12459,0.01745,0.04853,0.00768,0.05799,0.08939,0.18802,0.03546,0.09469,0.21286,3.70189,0.12232,2.63774,5.35393,1.65048,0.02411
8945,0.1076,0.13907,0.0935,0.05809,0.29151,0.20774,0.18981,0.31453,0.19102,0.26057,0.12539,0.26838,0.52735,0.41184,0.01498
15759,0.03943,0.12536,0.04607,0.01548,0.13162,0.0964,0.04985,0.04737,0.0411,0.14106,0.02336,0.30619,0.40089,0.02024,0.1396
18340,0.04589,0.18778,0.43739,0.09543,0.12835,0.19264,0.02055,0.11829,0.04055,0.37264,0.01136,0.57779,3.86837,1.35409,5.52373
12736,0.35135,0.21267,0.69045,0.16158,0.07884,0.07477,0.08852,0.421,0.22248,0.12218,0.78604,0.03279,0.40371,0.23914,0.13528
10125,0.4721,1.46162,1.10202,0.56054,3.57175,0.27228,1.77611,1.00169,1.10149,0.95695,7.71848,0.79465,8.84979,17.85084,0.08714
10870,0.01855,0.08437,0.08681,0.08098,0.14048,0.10381,0.11667,0.08972,0.10983,0.23023,0.13307,0.2146,0.72818,0.65764,0.05273
7132,0.04121,0.03999,0.0516,0.10588,0.13704,0.05075,0.07949,0.06203,0.07184,0.0705,0.05616,0.0034,0.04103,0.36276,0.37691
11942,0.12618,0.18559,0.0902,0.16152,0.28713,0.13633,0.24276,0.15743,0.07154,0.08953,0.204,0.08386,0.23921,0.25236,0.05193
3481,0.0154,0.01443,0.08131,0.01461,0.04736,0.00416,0.06815,0.09331,0.09239,0.0571,0.08335,0.20735,0.70516,0.52471,0.007
10411,0.05767,0.03218,0.05393,0.01922,0.04,0.05366,0.01016,0.05092,0.07789,0.01461,0.02276,0.00255,0.10547,0.08555,0.02336
9601,0.34253,0.26689,0.17075,0.31098,0.34444,0.22984,0.54705,0.23529,0.3628,0.42665,0.49213,0.30111,3.51572,0.58756,0.1192
12,0.01492,0.05442,0.03142,0.01544,0.0305,0.02785,0.04141,0.11325,0.0376,0.1059,0.02131,0.00778,0.00265,0.02213,0
16162,0.14437,0.20874,0.11835,0.23397,0.28886,0.06819,0.4342,0.14351,0.33199,0.35205,0.14557,0.48205,0.92964,0.65246,0.16995
8709,0.16721,0.3836,0.31928,0.36483,0.41022,0.18097,0.38935,0.09922,0.49358,0.44982,0.39431,0.49507,0.71853,0.4699,0.28583
20901,2.29106,1.18072,2.04379,1.64355,1.06172,0.25338,5.01763,0.32811,1.78366,1.85804,8.17049,1.22604,2.18414,1.19809,1.11549
7572,0.17681,0.22132,0.35072,0.36459,0.01468,0.07665,0.14621,0.0606,0.16877,0.05415,0.1117,0.01463,0.10604,0.65868,0.01543
2169,0.41284,0.64591,0.15247,0.62867,0.71519,0.43871,3.14208,0.3835,1.00691,1.62259,0.08367,2.19387,157.51299,6.25584,0.06255
9593,0.34253,0.26689,0.17075,0.31098,0.34444,0.22984,0.54705,0.23529,0.3628,0.42665,0.49213,0.30111,3.51572,0.58756,0.1192
19732,10.02389,11.11441,7.36796,8.82838,12.10542,1.44113,1.50622,1.92762,3.19477,2.29705,0.78468,2.09295,0.9312,1.57893,0.51556
366,2.13842,4.82634,2.14351,3.21808,1.3118,0.60675,1.09973,0.72088,5.52016,0.89274,14.01336,0.12953,0.52893,0.59091,2.24253
14371,2.08627,0.24641,0.43856,0.85894,0.03228,0.07341,0.31221,0.50215,0.27235,0.16562,1.05825,0.32921,0.24821,0.06559,0.0402
12665,0.04363,0.0023,0.00315,0.01629,0.29074,0.05006,0.17194,0.13838,0.24601,0.13459,0.05484,0.02668,0.36766,0.35258,0.21688
9093,1.25262,1.60534,1.62124,1.08927,0.9697,0.88642,3.34759,0.75886,1.41228,1.50099,0.82717,1.72004,4.3033,1.47865,0.23489
4308,0.05438,0.07757,0.001,0.01962,0.08942,0.00961,0.15275,0.24587,0.12161,0.1887,0.06677,0.01285,0.48567,0.39986,0.04727
12102,0.28326,0.46429,0.28353,0.22871,0.12075,0.41854,0.19234,0.18029,0.16435,0.19601,0.27928,0.19918,0.64333,3.81447,0.64943
18130,0.04589,0.1532,0.27448,0.01682,0.13993,0.04447,0.03459,0.1523,0.04744,0.01452,0.18696,0.18384,0.51555,0.81419,0.72151
